id,title,abstract,is_generated
1,Lietojumprogrammu saskarnes balstīta tīmekļa izstrādes izpēte un implementācija,"Pētījuma mērķis ir izstrādāt tīmekļa lietotni, kas balstīta uz modernām saskarnēm. Lai to panāktu, tika veikta dziļa izpēte, kura ietvēra tehnoloģijas, kuras varētu tikt izmantotas, kā arī dizaina izstrādi un datu bāzes uzstādīšanu. Rezultātā tika izveidots prototips, kura funkcionalitāte tika uzskatīta par pozitīvu, tāpēc tās turpmāka attīstība tiks veikta.",1
2,Daudzskatu sistēma cilvēka ķermeņa stāvokļa reģistrēšanai,"Šajā pētījumā tiek prezentēta daudzskatu sistēma cilvēka ķermeņa stāvokļa reģistrēšanai, kas sastāv no vairākiem sensors, kas novietoti uz cilvēka ķermeņa. Sistēma spēj ātri un precīzi noteikt cilvēka stāvokli un izvērtēt fiziskās aktivitātes intensitāti, dodot lietotājam iespēju sev izvirzīt vēl augstākus mērķus. Pētījums ietver sistēmas raksturojumu, radīšanas un testēšanas procesu. Rezultāti liecina, ka daudzskatu sistēma ir efektīvs instruments cilvēka ķermeņa stāvokļa novērtēšanai un uzlabošanai.",1
3,Kredītkaršu maksājumu krāpniecisko darījumu atpazīšanas algoritmu salīdzinājums,"Darba mērķis ir salīdzināt kredītkaršu maksājumu krāpniecisko darījumu atpazīšanas algoritmus, kas izmantoti bankās Latvijā. Tika izmantoti septiņi algoritmi, kas pamatojas uz dažādiem veidiem, kā pārbaudīt maksājuma autentiskumu. Darbā tika izmantoti arī reāli dati no banku klientu maksājumiem, lai salīdzinātu algoritmu precizitāti un atpazīšanas spēju. Galvenie kritēriji, kas tika izmantoti salīdzinājumā, bija precizitāte, false positive rate un false negative rate. Darba rezultātos tika konstatēts, ka visefektīvākie algoritmi ir tie, kas izmanto vairākus faktorus, piemēram, klienta iepriekšējo maksājumu vēsturi un progresīvus riska novērtējumus.",1
4,IT palīdzības dienestos pielietoto tehnoloģiju izpēte,"Pētījums aplūko IT palīdzības dienestos izmantotās tehnoloģijas un to pielietojumu. Tiešsaistes datu bāzes, tīkla un programmatūras risinājumi palīdz efektīvi un efektīgi veikt uzdevumus, samazinot laiku, kas veltīts problēmu risināšanai. Pētījuma mērķis ir analizēt tehnoloģijas, ko lieto IT palīdzības dienesti, kā arī novērtēt to sniegto efektivitāti un tirgus pieprasījumu. Iegūtie rezultāti var veicināt tehnoloģiju uzlabojumus un nodrošināt uzņēmumiem un organizācijām labākus IT pakalpojumus.",1
5,Tīmekļa lapu veidošanas metožu efektivitātes salīdzinājums,"Pētījuma mērķis ir salīdzināt tīmekļa lapu izveides metodes, lai noteiktu, kāda ir visefektīvākā pieeja. Pētījums pēta vairākus veidus, kā veidot tīmekļa lapas, kas ietver HTML/CSS, WordPress un Wix. Šīs metodes tika salīdzinātas, izmantojot dažādus efektivitātes kritērijus, piemēram, lapas ielādes ātrums, dizains un lietotāja pieredze. Pētījums nosaka labāko metodi tīmekļa lapu izveidei, kas var būt noderīgs mārketinga komandām, kas vēlas izveidot lietotājiem draudzīgu un pievilcīgu tīmekļa vietni.",1
6,Šķērsplatformu izstrādes rīku salīdzinājums mobilās lietojumprogrammas rakstīšanai,"Šī pētījuma mērķis ir salīdzināt pieejamos rīkus, kas var tikt izmantoti mobilās lietojumprogrammas izstrādei, ar īpašu uzmanību pievēršot Šķērsplatformu izstrādes rīkiem. Tiek sniegts izsmeļošs apraksts par katra rīka priekšrocībām un trūkumiem, kā arī tiek veikti to salīdzinājumi, izmantojot vairākus parametrus, piemēram, izmaksas, sarežģītību un funkcionalitāti. Galvenais secinājums ir tas, ka nav universālā rīka, kas būtu piemērots visiem projektiem un situācijām. Katram uzņēmumam un attīstītājam būs jāizvērtē savas vajadzības un prasības, lai izvēlētos piemērotu Šķērsplatformu izstrādes rīku.",1
7,Emocijvārdu semantika latviešu valodas tīmeklī: dažāda satura tipa blogu atšķirības,"Pētījumā tika izvērtēta emocijvārdu semantika latviešu valodas tīmeklī, analizējot dažāda satura tipa blogus. Tika novērots, ka cilvēki bieži vien izmanto emocijvārdus, lai izteiktu savu viedokli, noskaņu vai reakciju uz satura saturu. Tāpat tika identificētas atšķirības starp dažāda satura tipa blogu saturu, kur dažādi emocijvārdi tika izmantoti dažādās proporcijās. Pētījums sniedz ieskatu par to, kā cilvēki izmanto valodu, lai izteiktu savas emocijas un reakciju uz dažāda satura tipa blogu saturu.",1
8,"Dinamisku tīmekļa risinājumu izstrāde Ruby on Rails ietvarā, izmantojot WebSocket tehnoloģiju","Šajā projektā tiek īstenota dinamiska tīmekļa risinājumu izstrāde, kas balstīta uz Ruby on Rails ietvaru un izmanto WebSocket tehnoloģiju. Šī tehnoloģija ļauj veidot dinamiskas, interaktīvas un reāllaika lietotnes, kas spēj komunicēt ar serveri, neizmantojot statiskus HTTP pieprasījumus. Projektā tiks izmantoti vairāki Ruby on Rails ietvara resursi un metodoloģijas, lai nodrošinātu efektīvu un skalējamu risinājumu izstrādi, kas atbilst mūsdienīgo tīmekļa izstrādes prasībām un lietotāju vajadzībām.",1
9,Ēšanas tvītu modelēšana ar mašīnmācīšanās metodēm,"Šajā pētījumā tiek izmantots mašīnmācīšanās, lai modelētu ēšanas tvītus. Tiek veiktas analīzes un modeļu izstrāde, lai novērtētu un prognozētu tvītu kvalitāti. Tiek izmantotas dažādas metodes, piemēram, neironu tīkli un lēmumu kokus. Rezultātos parādās, ka mašīnmācīšanās var būt noderīgs rīks, lai uzlabotu ēšanas tvītu kvalitāti un radītu jaunas iespējas šajā nozarē.",1
10,Piekļuves sistēmas arhitektūras drošības riski un analīze,"Piekļuves sistēmas arhitektūras drošības riski un analīze ir ļoti svarīga tēma datoru drošības jomā. Šī studija atklāj dažus nozīmīgus riskus, kas saistīti ar piekļuves sistēmu drošību. Analīze liecina, ka ir nepieciešams uzlabot drošību sistēmās, kas nodrošina piekļuvi datiem un programmatūrai. Turklāt ir nepieciešama pastāvīga uzmanība un novērošana drošības riskiem, lai varētu tūlītēji reaģēt uz iespējamām problēmām. Šīs studijas rezultāti var noderēt piekļuves sistēmu projektēšanā un pārvaldībā, lai nodrošinātu lietotāju un uzņēmuma datu drošību.",1
